Ensembl Transcript ID,control 1,control 2,hht 1.1,hht 1.2,hht 2.1,hht 2.2,hht 3.1,hht 3.2
ENSG00000128849,1923.570442,1962.557132,490.4840469,451.1528354,1383.186294,1277.85968,1101.963088,1132.135222
ENSG00000128872,179.5596957,179.340631,667.4535656,627.5651621,498.3538855,507.7162516,1056.187519,1015.512735
ENSG00000128881,1119.02396,1057.70213,1078.885239,1035.337917,830.9288253,708.0178108,846.289788,777.78228
ENSG00000128886,18.84880784,20.37961715,11.67819159,13.49602499,8.136389967,14.99583865,12.28125022,14.35353689
ENSG00000128891,375.9841142,392.3076302,340.464201,335.4726212,259.3474302,276.3518838,353.9233018,314.8807154
ENSG00000128908,1589.252113,1613.046698,1306.160813,1294.654397,1161.469668,1104.336404,1133.224452,1082.794939
ENSG00000128915,1483.103564,1426.573201,1290.889332,1210.786242,1079.088719,976.8717752,1252.687523,1069.338498
ENSG00000128917,443.4430054,382.1178217,366.5155515,330.6526123,400.7172059,364.184653,271.3039822,312.1894273
ENSG00000128918,1192.435106,1147.372446,888.4408834,828.0775334,64.07407099,80.33484994,265.7215957,259.26076
ENSG00000128923,956.3289871,881.4184419,1383.416542,1248.382312,985.5202347,866.545248,983.616495,880.9483264
ENSG00000128928,968.2334974,972.1077383,710.5730423,604.4291192,692.6101959,558.0594242,626.3437613,538.2576332
ENSG00000128944,421.6180701,426.9529794,594.6894488,553.3370246,283.7566001,358.8289964,403.0483027,348.9703655
ENSG00000128951,1017.835623,981.278566,1162.429225,1052.689949,1009.929405,825.8422573,980.2670632,835.1964275
ENSG00000128965,238.0902043,213.9859801,58.39095796,59.76811067,98.65372835,97.47295126,62.5227284,93.29798976
ENSG00000128973,289.6764152,287.3526019,248.8353132,244.8564534,206.4608954,176.7366699,344.9914835,308.601043
ENSG00000128989,7115.92098,6454.224753,7509.077194,6868.512719,5697.507074,5039.672919,6135.042724,5435.504999
ENSG00000129003,6844.10133,6903.595311,6705.078619,5834.138803,5289.670527,4155.98957,6493.431935,5489.330763
ENSG00000129028,33.7294456,38.72127259,49.40773366,66.51612317,41.69899858,46.0586473,36.84375067,46.64899488
ENSG00000129038,151.7825052,123.2966838,100.6121122,109.8962035,91.53438712,59.98335462,100.4829564,122.9021596
ENSG00000129048,105.1565069,96.80318148,72.76411684,72.30013388,61.02292475,73.90806194,60.28977382,57.41414754
ENSG00000129055,1427.549183,1383.776005,942.3402292,879.169628,1070.952329,880.4699553,1489.380709,1333.981834
ENSG00000129071,1645.798537,1486.693071,1592.725669,1483.598747,1515.402631,1538.144593,1275.017068,1172.504544
ENSG00000129083,9101.990101,8556.382262,8743.372213,7834.442507,7017.636346,6541.399047,9041.233118,7976.081028
ENSG00000129084,3475.12494,3372.826639,3018.363365,2896.825364,2597.542497,2354.346669,3215.454604,2947.857638
ENSG00000129103,2305.506811,2164.315342,1902.646907,1775.691288,1667.959943,1455.667481,1739.471622,1724.218618
ENSG00000129116,1842.222956,1813.785927,1380.721575,1188.614201,1258.089299,1125.75903,1145.505703,923.111841
ENSG00000129128,7227.029742,6135.283744,7677.063488,7107.585161,6669.805675,6086.168231,6161.838179,5730.649602
ENSG00000129158,134.9177824,156.9230521,144.6299113,149.4202767,116.9606058,97.47295126,168.5880712,151.6092334
ENSG00000129159,20.83289287,24.45554059,7.186579441,32.77606069,15.25573119,40.70299063,14.51420481,70.87058837
ENSG00000129173,80.35544394,91.7082772,150.9181683,132.0682446,106.7901183,121.0378406,88.20170614,101.3718543
ENSG00000129187,2243.008133,2269.27037,2134.414094,1883.659488,1724.914673,1515.650835,1946.019922,1735.880867
ENSG00000129194,36.70557316,29.55044487,18.86477103,26.99204998,20.34097492,34.27620264,21.21306856,21.53030533
ENSG00000129195,81.34748646,118.2017795,130.2567524,113.7522106,99.67077709,95.33068859,100.4829564,94.19508581
ENSG00000129197,727.1671655,636.8630361,659.3686637,572.6170603,558.3597615,446.6617656,675.4687622,630.6585269
ENSG00000129204,16.8647228,25.47452144,10.77986916,41.45207676,28.47736488,62.12561728,27.91193232,60.10543571
ENSG00000129219,1379.931142,1314.485306,1414.857828,1177.04618,1026.202185,907.2482386,908.8125164,845.0644842
ENSG00000129226,51.58621092,30.56942573,21.55973832,23.13604284,17.28982868,19.28036398,18.98011398,26.91288166
ENSG00000129235,939.4642643,895.6841739,991.7479629,859.8895923,878.7301164,740.1517507,1151.088089,1031.660464
ENSG00000129245,1173.586299,1061.778054,964.79829,835.7895476,868.5596289,876.18543,983.616495,905.1699199
ENSG00000129250,6521.687512,6075.163874,6221.781151,5446.610086,4890.987419,4401.278645,7561.900705,6945.317661
ENSG00000129255,1009.899283,989.4304129,1069.902014,920.6217047,708.8829758,714.4445988,1235.940363,1160.842296
ENSG00000129292,2565.421951,2547.452144,2935.717702,2799.461184,2653.480178,2552.505965,2601.392092,2395.246468
ENSG00000129295,27.7771905,35.66433002,114.0869486,80.97614995,55.93768102,78.19258727,41.30965984,47.54609093
ENSG00000129315,2411.655361,2181.638016,2088.59965,1802.683338,1750.340892,1583.132109,1320.792637,1200.314522
ENSG00000129317,1127.952343,1046.493341,953.1200984,918.6937012,928.5655049,790.4949234,1175.650589,1134.82651
ENSG00000129347,400.7851772,469.7501754,233.5638318,199.5483695,186.1199205,181.0211952,233.3437542,191.0814598
ENSG00000129351,4732.04281,5263.03613,4402.67823,4432.480208,3523.056856,3152.339511,3991.406322,3601.840662
ENSG00000129353,2767.798625,2726.792775,2310.48529,2233.592136,1956.801787,1851.986074,2591.343797,2396.143564
ENSG00000129355,29.76127553,43.81617688,24.25470561,31.81205891,36.61375485,24.63602065,32.37784149,47.54609093
ENSG00000129422,5454.249763,5557.521598,5306.390595,4534.664397,3592.21617,3212.322866,4798.619405,4361.681021
ENSG00000129460,747.0080159,712.2676196,653.9787292,576.4730675,640.7407099,540.9213229,582.8011469,505.9621752
ENSG00000129465,45.63395582,54.00598546,87.13727573,121.4642249,89.50028963,93.18842593,69.22159216,52.03157121
ENSG00000129467,722.2069529,689.8500407,915.3905563,915.8016958,672.269221,638.3942742,752.5056954,785.8561445
ENSG00000129472,664.6684869,679.6602321,738.4210376,680.5852603,662.0987335,554.8460302,754.73865,710.5000759
ENSG00000129473,370.0318591,372.9469939,352.1423926,327.7606069,257.3133327,294.5611164,400.8153481,398.3106486
ENSG00000129474,2355.108937,2224.435212,2476.67494,2324.208304,1917.136886,1795.216113,1460.352299,1401.264038
ENSG00000129480,302.5729679,267.9919656,311.7178833,287.2725319,205.4438467,214.2262665,323.7784149,287.9678338
ENSG00000129484,348.2069237,312.8271233,252.4286029,256.4244748,209.5120416,219.5819232,284.7017097,255.6723758
ENSG00000129493,1003.947028,959.879968,914.4922339,846.3935673,780.0763881,731.5827001,1270.551159,1147.385855
ENSG00000129514,49.60212589,61.13885146,15.27148131,25.06404641,17.28982868,35.34733397,22.32954586,21.53030533
ENSG00000129515,5149.69271,4858.50073,5147.387525,4739.032775,4450.605312,3880.708818,4814.250087,4117.670894
ENSG00000129518,551.5756399,552.2876249,716.8612993,640.0971853,593.9564676,510.9296456,679.9346714,635.1440072
ENSG00000129534,817.4430346,730.609275,1147.157743,1031.48191,971.2815523,896.5369253,1124.292634,960.7898753
ENSG00000129538,2206.30256,1994.145539,2663.526005,2185.392047,2010.705371,2045.860845,296.9829599,271.8201048
ENSG00000129559,2321.379492,2628.970613,2640.169622,2185.392047,2054.438467,2026.580481,2716.389254,2558.51795
ENSG00000129562,4485.024223,4024.974388,4585.936006,3935.055287,3647.136803,3343.000889,4693.670539,4394.873575
ENSG00000129566,1085.294514,1297.162632,989.0529956,1026.661901,819.7412891,765.8589027,1048.372178,1117.781685
ENSG00000129595,685.5013798,622.5973041,718.6579441,655.5212138,503.4391292,509.8585143,737.9914906,773.2967997
ENSG00000129596,62.49867862,65.2147749,49.40773366,38.5600714,21.35802366,37.48959664,7.81534105,15.25063294
ENSG00000129625,2432.488254,2618.780804,2315.875225,2286.612234,2169.364975,2021.224824,2991.042668,2817.77871
ENSG00000129636,1730.122151,1593.686061,1638.540113,1515.410806,1521.504924,1350.69661,2189.411971,2114.455403
ENSG00000129646,180.5517382,196.6633055,220.9873178,199.5483695,194.2563105,188.5191145,114.9971612,139.0498886
ENSG00000129657,10188.27666,11027.41084,10147.45017,8759.884221,8399.805592,7966.00372,5965.338176,5569.172312
ENSG00000129667,667.6446145,693.9259641,596.4860936,569.725055,519.7119091,506.6451203,569.4034194,586.7008202
